episode,win,reward,length,opponent
1,0,(2829.3163406153003+0j),1417,random
2,0,(2005.8148788024962+0j),1657,random
3,1,(1501.2745863394362+0j),861,random
4,0,(2453.711882136399+0j),1709,random
5,0,(1909.7493080091872+0j),1639,random
6,1,(1589.0474095605166+0j),934,random
7,0,(2095.37220990457+0j),1610,random
8,1,(1973.2367352493156+0j),1101,random
9,1,(1583.1670014229985+0j),968,random
10,1,(1518.6779245077282+0j),805,random
11,1,(1327.47358207979+0j),563,random
12,0,(1984.7373135942469+0j),1664,random
13,1,(1567.9430106556495+0j),837,random
14,1,(1571.8309229515053+0j),804,random
15,0,(2001.6111739067178+0j),1653,random
16,1,(2072.8160509009904+0j),1088,random
17,0,(2037.198916295606+0j),1757,random
18,1,(1463.2074015563364+0j),787,random
19,1,(1657.6938733187305+0j),1019,random
20,1,(1011.0868863520883+0j),398,random
21,1,(981.840801034565+0j),497,random
22,1,(980.1553849565353+0j),358,random
23,0,(2239.733291751305+0j),1830,random
24,1,(1324.8608690667893+0j),638,random
25,0,(1780.2135284085546+0j),1531,random
26,0,(2273.783130315007+0j),2026,random
27,1,(991.3059710453358+0j),427,random
28,1,(1620.8496944515136+0j),835,random
29,1,(1298.3689426802862+0j),659,random
30,0,(2232.231874043692+0j),1397,random
31,0,(3012.016986631715+0j),1930,random
32,1,(1245.3604568910407+0j),545,random
33,1,(1075.4329149152868+0j),425,random
34,0,(1773.3646888626347+0j),1504,random
35,0,(2160.6254762499575+0j),1496,random
36,1,(1570.6138016360205+0j),981,random
37,0,(2683.434021237321+0j),2054,random
38,1,(1002.513768995505+0j),338,random
39,1,(1144.5826294058354+0j),640,random
40,0,(2178.1434363621242+0j),1832,random
41,1,(1030.0563149523005+0j),392,random
42,1,(1552.6248640807567+0j),727,random
43,0,(1103.6632000007478+0j),856,random
44,1,(2080.0601072787244+0j),1177,random
45,1,(1339.8866050492552+0j),623,random
46,1,(942.5766245198232+0j),359,random
47,0,(1644.4105391565472+0j),1609,random
48,1,(749.7839515632729+0j),376,random
49,0,(2741.7544092380053+0j),1783,random
50,1,(1711.6761671192505+0j),928,random
51,1,(985.0741436542515+0j),387,random
52,1,(1201.4828690622517+0j),653,random
53,0,(1868.283801670917+0j),1651,random
54,1,(1425.9126767586197+0j),720,random
55,0,(1595.121986439517+0j),1320,random
56,1,(904.3420059619261+0j),336,random
57,0,(1785.838856944559+0j),1568,random
58,1,(873.1499897809496+0j),280,random
59,0,(1537.3435956606654+0j),1491,random
60,1,(1009.3301221340596+0j),453,random
61,1,(1580.9149154981467+0j),879,random
62,0,(2089.48838473155+0j),1461,random
63,1,(1346.5150284130834+0j),560,random
64,0,(1996.447941238604+0j),1787,random
65,1,(1696.82694749037+0j),924,random
66,0,(1602.488465890798+0j),1570,random
67,1,(830.0273257468675+0j),270,random
68,1,(974.2690948186994+0j),400,random
69,0,(1605.0205053586903+0j),1417,random
70,1,(1060.0835343964013+0j),394,random
71,0,(1674.6617962234732+0j),1541,random
72,1,(1716.583017862905+0j),1032,random
73,0,(1747.20856318324+0j),1437,random
74,1,(889.7082679131307+0j),306,random
75,1,(1467.4804827202754+0j),736,random
76,1,(1613.313726180695+0j),757,random
77,1,(1365.3395584849704+0j),610,random
78,1,(2067.5589579524194+0j),1173,random
79,1,(1324.2190103093901+0j),631,random
80,1,(1370.0592109617808+0j),694,random
81,1,(1635.4275158087432+0j),936,random
82,1,(1187.9684017999512+0j),596,random
83,0,(2102.4771945813736+0j),1564,random
84,1,(1074.3685779133593+0j),386,random
85,1,(1047.0329099745886+0j),531,random
86,1,(2506.865347910652+0j),1361,random
87,1,(1875.2593644559206+0j),1150,random
88,1,(1270.587910247971+0j),691,random
89,0,(1837.2009224010267+0j),1529,random
90,1,(1559.9700756397306+0j),857,random
91,0,(1858.055793710706+0j),1623,random
92,0,(1055.6130167051738+0j),834,random
93,1,(2401.150392853511+0j),1433,random
94,0,(2655.939862955455+0j),1913,random
95,1,(911.9347285188123+0j),381,random
96,1,(1063.6778414198798+0j),463,random
97,1,(1033.2761997681282+0j),470,random
98,1,(2133.129627457881+0j),1290,random
99,0,(1757.8071688217026+0j),1409,random
100,1,(1160.487758411397+0j),563,random
101,1,(1096.5571472556594+0j),483,random
102,0,(1840.2757890825342+0j),1417,random
103,1,(1334.9525050668444+0j),628,random
104,1,(1101.275402037595+0j),443,random
105,1,(1254.3313071875514+0j),575,random
106,1,(1522.4425818069399+0j),965,random
107,1,(974.5474638671702+0j),382,random
108,1,(900.0467924196782+0j),381,random
109,1,(1093.503161426835+0j),523,random
110,0,(1920.8151222536962+0j),1711,random
111,1,(822.4722963506724+0j),299,random
112,1,(1481.07817113716+0j),705,random
113,1,(2634.3305898335075+0j),1603,random
114,1,(1457.714670926269+0j),672,random
115,1,(1228.9120576109426+0j),653,random
116,1,(968.0022145805215+0j),444,random
117,0,(2166.255623000075+0j),2150,random
118,1,(1459.4466466077024+0j),658,random
119,0,(1751.7496220833307+0j),1525,random
120,1,(872.8644439429713+0j),402,random
121,0,(2224.509676668446+0j),1560,random
122,0,(2352.0725164520104+0j),1908,random
123,1,(716.4603644452261+0j),254,random
124,0,(2295.9983654920234+0j),1899,random
125,1,(1152.2766296763693+0j),559,random
126,0,(2146.3926924246084+0j),1405,random
127,1,(1034.3814781213646+0j),407,random
128,0,(1853.4485632664237+0j),1459,random
129,1,(1356.8273933315884+0j),712,random
130,0,(1719.6174651804715+0j),1415,random
131,0,(1670.1258939768318+0j),1284,random
132,1,(1605.657169103766+0j),801,random
133,1,(919.9262157629211+0j),350,random
134,1,(987.3615102252719+0j),441,random
135,1,(1633.5067119085318+0j),869,random
136,1,(1445.1077722787522+0j),669,random
137,0,(1945.4056501762143+0j),1475,random
138,1,(2348.175547907134+0j),1542,random
139,1,(1052.6117959110509+0j),488,random
140,1,(1750.9249535823014+0j),968,random
141,0,(1804.4454400626134+0j),1731,random
142,0,(2072.9891843939586+0j),1476,random
143,0,(1984.9070828393233+0j),1628,random
144,0,(1902.7225626959748+0j),1616,random
145,1,(1953.7559989352162+0j),1147,random
146,1,(1646.6592976436868+0j),879,random
147,1,(1370.041996808305+0j),737,random
148,1,(2612.8911045839045+0j),1520,random
149,0,(2163.544733185143+0j),1525,random
150,1,(1420.911540871783+0j),744,random
151,1,(1950.3110628446893+0j),1110,random
152,1,(1590.4460916181824+0j),706,random
153,0,(2323.471314431328+0j),1959,random
154,0,(1616.1800955411886+0j),1465,random
155,0,(1568.962662947634+0j),1470,random
156,1,(1212.294900964374+0j),478,random
157,1,(1998.2722253194388+0j),1013,random
158,0,(2087.9719844544356+0j),1594,random
159,1,(1315.95270115891+0j),561,random
160,1,(1204.0313487024973+0j),579,random
161,0,(1606.499831467742+0j),1546,random
162,0,(2218.957993717047+0j),1647,random
163,0,(2931.4872131295915+0j),2075,random
164,0,(1703.3000075295508+0j),1438,random
165,0,(2682.8543280996196+0j),1657,random
166,1,(852.4203458052993+0j),318,random
167,0,(1591.773982344476+0j),1470,random
168,1,(901.4434246925258+0j),449,random
169,1,(843.9632190983976+0j),345,random
170,1,(1552.8800074053572+0j),860,random
171,0,(2937.4954889666246+0j),2044,random
172,1,(806.1104494660252+0j),295,random
173,0,(1863.360479454272+0j),1487,random
174,0,(1592.2656486293643+0j),1555,random
175,1,(1561.2637044326827+0j),653,random
176,1,(1142.2348227857592+0j),455,random
177,1,(2061.3367478843543+0j),1084,random
178,1,(1132.1024643021578+0j),451,random
179,0,(1946.7767050588968+0j),1488,random
180,1,(2303.17112067302+0j),1351,random
181,0,(1924.4851559717463+0j),1500,random
182,1,(869.9842316641626+0j),284,random
183,1,(2158.53441567308+0j),1097,random
184,0,(2139.7269199109355+0j),1612,random
185,1,(1567.070734337085+0j),770,random
186,1,(892.4027194722165+0j),375,random
187,1,(1102.4331528375233+0j),408,random
188,1,(1081.762419672171+0j),542,random
189,0,(729.562790803173+0j),579,random
190,0,(1916.4541437660193+0j),1511,random
191,0,(1745.475599878361+0j),1435,random
192,1,(1318.8055875037007+0j),622,random
193,1,(1221.007718073162+0j),562,random
194,1,(2240.0583541755527+0j),1327,random
195,0,(2008.979062974739+0j),1519,random
196,1,(1630.775733565299+0j),880,random
197,1,(1094.317193989405+0j),518,random
198,1,(1864.9161286575886+0j),1068,random
199,1,(831.3338965755287+0j),340,random
200,0,(1846.8278987779088+0j),1551,random
201,1,(1603.4647871556283+0j),851,random
202,1,(1095.430548470311+0j),425,random
203,1,(874.519762034372+0j),406,random
204,0,(1892.7417596781916+0j),1570,random
205,0,(2224.18604899359+0j),1617,random
206,1,(1995.8192644734822+0j),945,random
207,1,(1838.9714637682778+0j),1001,random
208,1,(1993.1608929935842+0j),942,random
209,1,(1221.5401894725414+0j),515,random
210,1,(1285.2018966623182+0j),632,random
211,1,(1137.7786489736702+0j),501,random
212,0,(2484.507014741777+0j),1860,random
213,0,(1883.8132329269629+0j),1492,random
214,0,(2242.3337459961886+0j),1905,random
215,1,(1212.330089711436+0j),602,random
216,1,(1572.7466843301038+0j),884,random
217,1,(1242.0996920382909+0j),530,random
218,0,(1570.250359518635+0j),1405,random
219,0,(1742.5932915410765+0j),1417,random
220,1,(622.3597558853886+0j),145,random
221,1,(1532.5361371600918+0j),781,random
222,0,(1997.096080653228+0j),1646,random
223,0,(2117.40054881546+0j),1332,random
224,0,(2248.5581590115444+0j),1711,random
225,0,(2403.603119659849+0j),1560,random
226,1,(864.5396152411864+0j),322,random
227,1,(951.2063705562725+0j),375,random
228,0,(1691.1935307436754+0j),1381,random
229,1,(945.0310407650295+0j),446,random
230,1,(643.5925731785829+0j),189,random
231,0,(2523.7519286597003+0j),2009,random
232,1,(1689.7471823728176+0j),1031,random
233,1,(1497.7071754852045+0j),734,random
234,1,(2046.5235573036307+0j),1247,random
235,1,(1395.7307380100174+0j),660,random
236,1,(880.2019664853805+0j),347,random
237,0,(2319.3223168187283+0j),1621,random
238,0,(1592.432532308774+0j),1546,random
239,0,(2464.37355074214+0j),1689,random
240,0,(2347.555420897868+0j),1849,random
241,1,(1081.900190851495+0j),454,random
242,1,(923.5069377256723+0j),438,random
243,1,(1815.394344191059+0j),1030,random
244,1,(1551.8501049486551+0j),799,random
245,1,(2588.8332236619926+0j),1410,random
246,1,(1758.221919175043+0j),883,random
247,0,(2277.215740109679+0j),1878,random
248,0,(881.2976264575408+0j),734,random
249,0,(2281.3478939164597+0j),1903,random
250,1,(2090.5124985724733+0j),1144,random
251,1,(1330.2761225771678+0j),723,random
252,0,(1551.3852943511142+0j),1320,random
253,1,(2064.396227413141+0j),1393,random
254,1,(1328.4748045392746+0j),644,random
255,1,(1629.3936205985547+0j),1006,random
256,1,(1044.1934842816431+0j),486,random
257,0,(1618.448688806186+0j),1682,random
258,1,(1145.6391868491269+0j),548,random
259,1,(1644.8797059409922+0j),982,random
260,0,(1838.069043126782+0j),1406,random
261,0,(2011.8110143387762+0j),1556,random
262,1,(1602.0358360388675+0j),878,random
263,0,(2736.8314462157564+0j),2079,random
264,0,(2057.3336588965462+0j),1488,random
265,0,(1982.9696724755934+0j),1636,random
266,0,(1914.0588901481042+0j),1450,random
267,1,(1133.0537759668969+0j),498,random
268,1,(1278.2208338297191+0j),559,random
269,1,(1565.340543958281+0j),777,random
270,1,(1781.3034945804893+0j),979,random
271,1,(1876.4409384045823+0j),1180,random
272,1,(2415.414102212317+0j),1739,random
273,1,(992.8916805016811+0j),345,random
274,1,(1109.0334049603744+0j),502,random
275,0,(1959.2026480035165+0j),1611,random
276,0,(2066.240909130745+0j),1446,random
277,1,(1071.3143699646353+0j),455,random
278,0,(1780.742128035468+0j),1549,random
279,1,(839.4714780612401+0j),285,random
280,1,(1276.5934511893388+0j),624,random
281,1,(1237.5530800499782+0j),566,random
282,0,(1847.3506363614333+0j),1457,random
283,1,(1703.6933583468908+0j),772,random
284,0,(1856.4577934593406+0j),1429,random
285,1,(1080.7581561870302+0j),434,random
286,0,(1871.6321349978573+0j),1368,random
287,0,(1743.2404471256282+0j),1350,random
288,1,(1425.1723801475086+0j),628,random
289,0,(2455.234360589131+0j),1800,random
290,1,(909.8153686451176+0j),352,random
291,1,(1516.3298987885826+0j),768,random
292,1,(1743.1215296943049+0j),863,random
293,1,(1686.3019047673529+0j),968,random
294,1,(1079.1178511701328+0j),505,random
295,0,(1660.1190192402767+0j),1358,random
296,1,(1464.7473977560958+0j),811,random
297,1,(987.3329453512118+0j),466,random
298,1,(1704.727399157181+0j),915,random
299,1,(1185.819648589054+0j),568,random
300,1,(2126.4754327937662+0j),1331,random
