episode,win,reward,length,opponent
1,0,973.2937494440795,1466,random
2,0,134.26786898215707,2973,random
3,0,4316.4695622696045,4513,random
4,0,920.0781017129376,2455,random
5,0,1213.3082674616335,2441,random
6,0,3359.729276361072,3961,random
7,0,2911.137124259438,3709,random
8,0,128.56734944160218,2198,random
9,0,345.16168220679026,2358,random
10,0,428.592766198108,2258,random
11,0,544.5317814277781,2332,random
12,0,3036.508307542107,3465,random
13,0,567.8771606936948,2320,random
14,0,3972.176428316377,4608,random
15,0,707.9646200417025,2359,random
16,0,634.3987712560491,2464,random
17,0,265.1608824707444,2100,random
18,0,1042.073082716249,2685,random
19,0,781.7363188750198,1944,random
20,0,5052.260015287683,3947,random
21,0,455.9384808988184,2424,random
22,0,3100.358640853849,3622,random
23,0,6711.569446615871,5320,random
24,0,636.4756934821157,1968,random
25,0,1057.6471248659009,2387,random
26,0,264.27320745076986,2267,random
27,0,1127.203320306006,2642,random
28,0,3915.08118334372,4449,random
29,0,2528.2194399470554,3343,random
30,0,524.7515443236961,2217,random
31,0,180.6930432650177,1974,random
32,0,805.5626399260423,2345,random
33,0,497.7850169948383,2352,random
34,0,350.991506611658,2553,random
35,0,465.4743076363424,2091,random
36,0,1101.6349211982338,2232,random
37,0,874.1706117417003,2445,random
38,0,1401.562341486173,3047,random
39,0,316.8330295977542,2352,random
40,0,487.4810229276145,2458,random
41,0,6006.4562989716,4864,random
42,0,7008.060733869278,6225,random
43,0,572.1152530527745,2549,random
44,0,653.8908598004937,2688,random
45,0,2593.300950236147,3048,random
46,0,189.60509013182616,1818,random
47,0,2506.5509347695893,3161,random
48,0,158.42420380211604,2096,random
49,0,266.4906466220363,2382,random
50,0,210.64734214621254,2478,random
51,0,3670.1356367090157,3725,random
52,0,383.02198126365636,2321,random
53,0,594.7054543666571,2519,random
54,0,1103.4899500246856,2102,random
55,0,305.6072819933996,1834,random
56,0,715.7365047565395,2269,random
57,0,132.16839547903504,2191,random
58,0,5789.535107520298,4296,random
59,0,728.4975712579329,2424,random
60,0,857.9154936473692,2317,random
61,0,1844.144709283018,3103,random
62,0,896.4081266883713,2601,random
63,0,2080.6175399430945,2819,random
64,0,444.469014166637,2297,random
65,0,3356.417732224852,3215,random
66,0,879.1161004301518,2499,random
67,0,631.1684531552504,2505,random
68,0,400.3699807851908,2047,random
69,0,870.2667204052258,2671,random
70,0,707.314106603751,2647,random
71,0,2794.5025754248586,3437,random
72,0,1690.4328774780522,2907,random
73,0,903.9066904352087,2668,random
74,0,518.3626092857014,2311,random
75,0,3741.7290539269848,4121,random
76,0,4379.520160084534,4619,random
77,0,1245.8603056287727,2775,random
78,0,1863.4902023908442,2735,random
79,0,4321.466360687902,3994,random
80,0,272.163089358745,1970,random
81,0,630.3279384152847,2480,random
82,0,210.58544073691843,2301,random
83,0,270.0281008904261,1673,random
84,0,4113.926871910589,3662,random
85,0,1023.7558281112592,2682,random
86,0,725.747775388032,2728,random
87,0,929.565728724022,2478,random
88,0,1002.4205842496459,2713,random
89,0,825.6352759339702,1980,random
90,0,711.8037623750542,2594,random
91,0,1083.065355206243,2662,random
92,0,1441.2908787592253,2476,random
93,0,732.70824567644,2716,random
94,0,341.2155318655496,2584,random
95,0,1109.9410990767788,2476,random
96,0,3971.241058671111,3869,random
97,0,553.6323838887876,2196,random
98,0,503.57424560882345,2359,random
99,0,940.7531191821927,2358,random
100,0,245.9192835524513,2290,random
101,0,2264.1751853291503,3099,random
102,0,159.33961260131105,2307,random
103,0,3707.9423969850536,3840,random
104,0,633.6881774126351,2291,random
105,0,333.88045255128515,2349,random
106,0,1037.5403852648826,2556,random
107,0,484.1124257085211,2395,random
108,0,437.4467737716295,2020,random
109,0,104.14022723736409,1388,random
110,0,516.1156144191172,1929,random
111,0,462.10034342150266,2629,random
112,0,1665.374029958402,3009,random
113,0,199.41213169627068,2264,random
114,0,3673.8765748267283,3815,random
115,0,359.81725207580405,2250,random
116,0,362.3825203406437,2458,random
117,0,769.3060762407132,2547,random
118,0,616.917539131766,2221,random
119,0,601.7328529768783,2495,random
120,0,150.24804458306633,2190,random
121,0,789.0199199152905,2516,random
122,0,489.09641241591316,2376,random
123,0,262.67187185421153,2064,random
124,0,369.1151820955222,1864,random
125,0,561.7937419662177,2367,random
126,0,1335.1512051090301,2660,random
127,0,2702.877224823224,3366,random
128,0,221.9624039185678,2424,random
129,0,160.5862066296957,2252,random
130,0,1117.2052487788767,2538,random
131,0,2457.4717438807115,3189,random
132,0,134.78076483043753,2224,random
133,0,447.29248663502426,2620,random
134,0,1313.2782690919455,2955,random
135,0,2676.013386133611,3223,random
136,0,357.1312770359927,2032,random
137,0,556.668091062854,1915,random
138,0,1653.856606333152,3025,random
139,0,717.2083887507084,2267,random
140,0,1355.7918431362075,2370,random
141,0,342.32916665346045,2285,random
142,0,1841.450003679144,3051,random
143,0,2542.54449338679,3281,random
144,0,216.4124170238049,2215,random
145,0,6269.227467254379,4975,random
146,0,93.14612889078414,2075,random
147,0,4761.021172241429,4472,random
148,0,3861.305080301061,3602,random
149,0,507.9140352507442,2112,random
150,0,4157.122496207178,4012,random
151,0,468.8342719914652,2072,random
152,0,649.5573811587734,2337,random
153,0,3703.2972347624655,4448,random
154,0,1517.898058374518,2420,random
155,0,16.7053104754787,2305,random
156,0,338.359616510324,2000,random
157,0,1621.5616546450394,2560,random
158,0,870.3493649517798,2417,random
159,0,3635.510232044672,3560,random
160,0,469.5896097969667,2446,random
161,0,848.3037714241802,2226,random
162,0,5983.137389482852,4874,random
163,0,2745.1050224580395,3234,random
164,0,733.7293010020903,2134,random
165,0,2823.453908102864,3559,random
166,0,138.71471381235867,2146,random
167,0,751.7920344616147,2783,random
168,0,801.7023845187265,2689,random
169,0,2712.639409780318,3798,random
170,0,390.29734157053974,2214,random
171,0,667.0242190882866,2455,random
172,0,7743.7641948428345,6768,random
173,0,557.1334247531296,2093,random
174,0,434.09270044003233,2297,random
175,0,955.514033026506,2609,random
176,0,5359.458806115665,4497,random
177,0,1548.190377572834,2418,random
178,0,1119.441491444906,2914,random
179,0,1452.765228398173,2594,random
180,0,3423.6508080064236,3598,random
181,0,471.68491445185714,2673,random
182,0,2241.847165778844,3170,random
183,0,1886.4328186609582,2561,random
184,0,1339.0656209336616,2468,random
185,0,6648.455990986146,5102,random
186,0,377.92182135061086,2331,random
187,0,923.1467090323353,2569,random
188,0,182.4085217082095,1796,random
189,0,412.5320201737024,2457,random
190,0,116.2812683211332,2068,random
191,0,1545.840986217128,2925,random
192,0,3475.7455110972164,3445,random
193,0,717.7190268229562,2588,random
194,0,2729.1143550182164,3256,random
195,0,220.63510461884738,2315,random
196,0,221.08191951152332,2132,random
197,0,209.60318020627702,1759,random
198,0,441.0787795870311,2209,random
199,0,401.8305280343813,2070,random
200,0,405.2670697359583,2193,random
201,0,190.93379449685656,2081,random
202,0,329.1343799675526,2200,random
203,0,596.1485603191335,2318,random
204,0,1054.5880079445658,2809,random
205,0,1227.1380490980482,2760,random
206,0,2818.665731552326,3559,random
207,0,5427.472793950682,5221,random
208,0,4701.047306355754,3999,random
209,0,3207.5057205912362,3397,random
210,0,314.56256070598334,2305,random
211,0,539.1633463830074,2308,random
212,0,590.2482220325136,2364,random
213,0,423.16679508552136,2338,random
214,0,2470.6303376188544,2925,random
215,0,465.3672348352258,2060,random
216,0,843.0740339530415,2149,random
217,0,2619.6008425467753,2825,random
218,0,415.5001898275657,2337,random
219,0,634.3700021000353,2285,random
220,0,436.666153473913,2469,random
221,0,270.36380491831864,2393,random
222,0,201.10569077420215,2454,random
223,0,789.3834863356661,2423,random
224,0,3625.309420178279,3710,random
225,0,6081.575719929736,5140,random
226,0,1043.4919833847573,2414,random
227,0,325.25694196165983,2114,random
228,0,1213.9655582592861,2602,random
229,0,1180.5195287169024,2518,random
230,0,849.6409911299686,2315,random
231,0,359.50466844928377,1906,random
232,0,1993.8062319526816,2929,random
233,0,3594.877098251632,3775,random
234,0,538.5333921458367,2336,random
235,0,464.815916622119,2277,random
236,0,505.58144081577706,2461,random
237,0,2525.3813476319965,3616,random
238,0,379.904563159307,2243,random
239,0,319.5775641708708,2417,random
240,0,1255.223407904035,2741,random
241,0,1676.2903052733416,3177,random
242,0,773.1034409362022,2417,random
243,0,445.78482943465343,2348,random
244,0,890.6020043571881,2593,random
245,0,634.4822266968542,2388,random
246,0,3223.170867780819,3695,random
247,0,4047.3652042311255,4183,random
248,0,627.6482784903095,2323,random
249,0,212.19779062422677,2121,random
250,0,461.48781143667355,2284,random
251,0,94.13301494557821,1911,random
252,0,1821.5607089451703,3029,random
253,0,1029.1750727660733,2560,random
254,0,1319.9865106033574,2821,random
255,0,700.0630525276468,2669,random
256,0,563.8893113436237,2289,random
257,0,1165.5833439490345,2609,random
258,0,1668.1669750905814,2780,random
259,0,1249.0317941256405,2483,random
260,0,736.1690136552958,2314,random
261,0,487.22153750250095,2188,random
262,0,713.8144940629934,2550,random
