episode,win,reward,length,opponent
1,1,-3.5339981297061573,578,random
2,1,-665.2842044463403,1535,random
3,1,-58.64327779375302,978,random
4,1,-5.969448666734072,859,random
5,1,8.128826973501218,1266,random
6,1,-2648.563528048423,2782,random
7,1,-1862.1758122165402,2127,random
8,1,-793.3930971901477,1462,random
9,1,64.80589425491446,700,random
10,1,-1011.0945702539763,1598,random
11,0,-7320.414620429517,5427,random
12,1,-96.6869521079741,1058,random
13,1,22.792257533582422,657,random
14,0,-148.3973222254942,1039,random
15,1,-1228.1466208753882,1834,random
16,1,-38.13281566938408,951,random
17,1,-462.98511482995747,1427,random
18,1,-39.414400878572955,810,random
19,1,20.694074740018436,920,random
20,1,-275.6596651379499,1172,random
21,1,-3164.6783360596837,2948,random
22,1,8.9924006289426,762,random
23,1,-91.46804809649619,921,random
24,0,15.941825804335382,618,random
25,1,-5148.708656156964,3791,random
26,1,-3047.3019143419274,2710,random
27,1,19.122110302341966,738,random
28,1,59.12397085336136,468,random
29,1,37.526339693829776,514,random
30,0,-2769.310518644217,2484,random
31,1,-1340.6743975208992,1663,random
32,1,40.76758274041735,234,random
33,1,57.84665546764639,600,random
34,1,47.82400086503988,277,random
35,1,43.375243078456734,627,random
36,1,-503.64860904947943,1335,random
37,1,-582.9207299393314,1332,random
38,1,-1350.784986611505,1877,random
39,1,-165.4427080211279,1245,random
40,0,55.16429663916541,757,random
41,0,-515.8376990994601,1482,random
42,1,-659.6637838597212,1611,random
43,1,-343.5160147297338,1316,random
44,1,51.90206492568823,487,random
45,1,41.41463278790742,738,random
46,1,-179.9385334750868,1090,random
47,1,-3722.9706031288556,3128,random
48,1,-193.338708577222,1112,random
49,1,33.41877770005672,705,random
50,1,-89.76807527962282,944,random
51,1,-1505.113380420823,2047,random
52,1,-40.91591852727513,736,random
53,1,13.791263061497071,766,random
54,1,44.26903287639744,763,random
55,1,39.997654931540936,383,random
56,1,-1201.6016094811093,1577,random
57,1,-46.29774435666227,870,random
58,1,54.56468155218018,580,random
59,1,-46.809669793174564,1023,random
60,1,52.84786272070698,615,random
61,1,-11.650090983601876,830,random
62,1,-219.97583387883142,1142,random
63,1,21.569657132028738,374,random
64,1,-219.86070363543473,1349,random
65,0,-229.79801816487574,1268,random
66,1,-104.54507627569518,1097,random
67,1,-21.138490235475903,749,random
68,1,2.2841407463088608,742,random
69,1,-99.65126047835241,866,random
70,1,-648.7091727794781,1261,random
71,1,13.24988392070087,356,random
72,1,17.671624263317806,358,random
73,0,-1962.3238864750272,2370,random
74,1,51.86702661321364,693,random
75,1,-607.5665141789209,1334,random
76,1,42.36442882396239,382,random
77,1,55.57618393991417,610,random
78,1,40.186511671405896,622,random
79,1,42.212397565222226,942,random
80,1,-883.2798987081368,1681,random
81,1,49.210783271593016,480,random
82,0,17.557363523452583,637,random
83,1,46.52322060617883,455,random
84,1,-2976.387497449732,2460,random
85,1,-377.6147238377975,1467,random
86,1,37.740240125340144,815,random
87,1,-21.3354267653488,926,random
88,1,46.96777052401298,586,random
89,0,-309.2590546107913,1431,random
90,0,-11190.47699649308,6827,random
91,1,-12.24420644577548,841,random
92,1,17.38195301504235,826,random
93,1,-42.18772582275662,947,random
94,1,33.56836201606909,332,random
95,1,53.78865923110734,630,random
96,1,58.64777172327586,1128,random
97,1,35.7655801940348,408,random
98,1,-1217.6680808906335,1723,random
99,1,-690.4747690817924,1582,random
100,1,-73.78952046085514,1014,random
101,1,-46.382930642120556,974,random
102,1,38.00864315244846,281,random
103,1,8.726104376548426,723,random
104,1,-3989.3975293310186,3423,random
105,1,-4.265973532395066,788,random
106,1,-127.13413493402246,1009,random
107,1,29.59783957594408,528,random
108,1,-122.91981825850515,1197,random
109,1,-228.65224967067095,1251,random
110,1,6.701530507230807,1105,random
111,1,47.67963231196101,423,random
112,1,-2325.6868682978993,2490,random
113,1,26.040136717014846,762,random
114,0,-8813.21450572299,5653,random
115,1,29.896832775948315,701,random
116,1,51.634373399596456,545,random
117,1,19.641149036334212,692,random
118,1,-2184.449242224337,2405,random
119,1,39.63680786694911,368,random
120,1,38.410347140419056,516,random
121,1,1.6439610814610326,804,random
122,1,15.57915514539074,596,random
123,1,1.366107149082346,499,random
124,1,-39.36459063776993,794,random
125,0,-3892.0505392786313,3067,random
126,1,-5025.735996116039,3769,random
127,1,46.2268201205946,453,random
128,1,43.507644171043836,757,random
