episode,win,reward,length,opponent
1,1,62.51302794894873,302,random
2,0,7.1815870666441235,3237,random
3,1,102.55408074894207,599,random
4,1,84.18204732234064,594,random
5,1,93.6589628281235,324,random
6,1,108.35130465776594,2060,random
7,1,126.57566183266195,451,random
8,1,138.17520985309793,883,random
9,1,135.2469058357074,399,random
10,0,40.74210217864084,4953,random
11,1,181.1654345297123,1464,random
12,1,189.4090114835543,952,random
13,1,413.4427926707375,3775,random
14,0,-237.2949332891827,5233,random
15,1,-191.31476995475614,4674,random
16,1,211.55275540482532,1521,random
17,1,168.4348228703352,3331,random
18,1,132.73309399624787,769,random
19,1,116.218722085116,406,random
20,0,207.93405227453243,2263,random
21,1,251.0487453423537,1259,random
22,1,106.84482028485805,407,random
23,1,144.10654316221377,1377,random
24,1,133.43325406252433,483,random
25,1,121.1708540090329,432,random
26,1,150.34071175232913,687,random
27,1,106.79883833648924,396,random
28,0,201.7001920299068,5324,random
29,0,75.88076046886515,4723,random
30,1,386.37514154299737,2941,random
31,1,146.15093033767343,511,random
32,1,223.60036292147404,1671,random
33,1,164.50496568909753,3129,random
34,1,101.5103968880627,1002,random
35,1,161.2867051592818,786,random
36,1,135.74194701813752,3213,random
37,0,252.22187203724883,3043,random
38,0,100.02155460892882,5231,random
39,0,132.01490927267176,4977,random
40,1,125.18453444627873,2878,random
41,1,137.27060547455406,3377,random
42,1,113.71503827223117,316,random
43,1,281.44759012284857,2145,random
44,1,130.72284804781094,659,random
45,0,67.65040035952069,5049,random
46,1,117.33579246211181,376,random
47,1,134.3691575025598,506,random
48,1,119.01764297454329,494,random
49,1,124.81349828247824,1770,random
50,1,161.1865961863251,695,random
51,0,190.515101004875,2322,random
52,0,112.76970111384337,5258,random
53,1,143.30822957016332,953,random
54,1,31.181619639297445,4125,random
55,1,146.24639110020087,604,random
56,1,133.91682777635518,690,random
57,1,122.33544532591395,399,random
58,1,133.31107197272902,452,random
59,1,139.0966505003621,691,random
60,1,110.99617926384997,441,random
61,1,136.93962345890907,495,random
62,1,111.80447883846055,463,random
63,1,261.0002308884468,1793,random
64,0,134.40236356838057,5252,random
65,1,167.78153633176768,896,random
66,1,167.44035877684723,897,random
67,1,118.4001883458566,472,random
68,1,171.45327771597735,977,random
69,1,175.49733629407507,938,random
70,1,109.72127158942229,494,random
71,1,113.62875876421582,1343,random
72,1,169.0987177473008,1018,random
73,1,143.64973663284349,1708,random
74,1,98.22415431607324,482,random
75,1,179.94509186186497,3950,random
76,1,106.27369466237332,287,random
77,1,183.11870268828864,976,random
78,1,131.10892964804478,803,random
79,1,192.4814824583126,1161,random
80,1,106.26799780217979,531,random
81,0,319.23967855477554,2725,random
82,1,83.77379482520884,199,random
83,0,70.50962610647056,4833,random
84,1,32.22673353025665,1714,random
85,1,113.44493269708215,431,random
86,0,-59.49673059811849,5290,random
87,1,164.36397306973845,809,random
88,1,148.5492728268047,2579,random
89,1,161.24580610008428,741,random
90,1,-47.97559693320824,2938,random
91,1,195.29509462573876,949,random
92,1,133.84812101250034,578,random
93,1,76.18223177124861,1925,random
94,1,288.68190977864134,2226,random
95,1,173.5999759749077,721,random
96,1,116.44144826342402,2470,random
97,1,124.03410332508598,554,random
98,0,231.7539205426113,1982,random
99,1,130.76163880273373,3392,random
100,1,126.24271351107035,648,random
101,1,193.43832457404028,937,random
102,1,207.24693084560892,1537,random
103,1,183.84161818308087,1073,random
104,1,160.87639512566676,1043,random
105,1,269.9868460467484,1346,random
106,1,142.68268314593277,767,random
107,1,-448.2176055020231,4466,random
108,1,106.2476138582434,290,random
109,1,136.3695760056832,548,random
110,1,161.69236888289868,601,random
111,0,276.0471682405141,4396,random
112,1,149.0091649745528,733,random
113,1,106.95252669725116,271,random
114,0,513.0489719576726,7134,random
115,1,169.92847768087972,2008,random
116,1,-155.47048088337644,4520,random
117,1,143.8276005247094,986,random
118,1,136.57883197792006,782,random
119,1,130.59694359662936,715,random
120,1,118.5796771588458,400,random
121,1,150.73289627358878,1593,random
122,1,120.06307706930363,609,random
123,1,153.09182457698876,1196,random
124,1,130.31547138947093,1323,random
125,1,207.410206086651,1097,random
126,1,164.35156459530725,616,random
127,1,158.6072878225935,576,random
128,1,157.0306813265948,746,random
129,1,140.37046246783422,556,random
130,1,129.67741380276112,611,random
131,1,120.57804423482342,508,random
132,0,253.76821473452014,2293,random
133,1,159.3414316179187,2867,random
134,1,163.70063564831338,726,random
135,1,301.35114768612334,1833,random
136,1,149.26134444889658,848,random
137,1,123.17225465589685,501,random
138,1,285.76862040169334,2129,random
139,1,130.72997269866633,495,random
140,1,245.55658074126833,1301,random
141,1,155.20001165352042,1751,random
142,0,130.87151554412694,1308,random
143,1,107.87678168111734,738,random
144,0,270.23378320374525,5917,random
145,1,123.88980087239582,579,random
146,1,99.72344423042802,229,random
147,1,119.66340312037235,464,random
148,1,217.69938482270737,973,random
149,1,173.85027012226007,707,random
150,1,153.5006088194666,709,random
151,1,151.0346612779719,757,random
152,1,119.66618224641313,449,random
153,1,101.55173561542227,326,random
154,1,226.63494630563804,1199,random
155,1,160.00456251078904,770,random
156,0,-127.97241900527506,4895,random
157,1,135.45530058365776,650,random
158,1,217.63054678377614,1926,random
159,1,97.0074493959542,259,random
160,1,-34.676580379421395,4471,random
161,1,158.34473367366354,551,random
162,1,186.7529949700996,2419,random
163,1,115.48934336000113,484,random
164,1,199.3475839894685,1175,random
165,1,117.60292771629877,808,random
166,1,146.9185027031803,4006,random
167,1,81.38907365657353,133,random
168,1,128.98078494367758,645,random
169,1,146.89705217116705,558,random
170,1,217.33718744453225,1783,random
171,1,52.64067459996463,4057,random
172,1,169.07118258138536,1281,random
173,1,140.64367902981118,419,random
174,1,80.57942530684339,260,random
175,1,284.2148764000024,1602,random
176,1,236.32733280297154,3720,random
177,1,230.0210613947716,1313,random
178,1,135.56792542050212,708,random
179,0,374.4923124514055,6020,random
180,0,137.5987963766735,2284,random
181,1,120.22502001309809,472,random
182,1,121.27805488820901,380,random
183,1,122.32603333951758,601,random
184,1,139.35701689043765,4703,random
185,1,117.39816370060817,453,random
186,1,235.18638995192026,1911,random
187,1,117.4762006573309,393,random
188,1,205.03786398692762,1255,random
189,1,103.72867565570475,510,random
190,1,157.1232186736329,1104,random
191,1,168.82688201499565,865,random
192,1,203.3021735150512,4021,random
193,1,142.8806035004652,666,random
194,1,166.8668327893126,3450,random
195,1,161.80079039035732,726,random
196,0,528.6277489667251,6345,random
197,1,112.75586018817508,526,random
198,0,476.8501679595582,6407,random
199,1,116.51485010209589,943,random
200,1,140.93590851668256,1908,random
201,1,169.2347600967388,720,random
202,1,220.88165704246882,1963,random
203,1,58.48223439951575,3116,random
204,1,163.7609112050338,898,random
205,1,147.58296163018952,672,random
206,0,419.38363479691037,4779,random
207,1,128.11827132848396,1276,random
208,1,158.9972329400427,1639,random
209,1,-69.3229926765205,4951,random
210,1,148.3909793997158,623,random
211,1,183.9039643276357,951,random
212,1,154.00990708192379,1041,random
213,1,240.254623771099,1715,random
214,1,266.2552491907337,1652,random
215,1,199.56088304944794,905,random
216,1,147.5165571016172,3910,random
217,1,113.51445929363501,370,random
218,1,-117.11342950659991,3971,random
219,1,130.05481324727123,654,random
220,1,113.87499179255461,489,random
221,0,231.53458804579628,4264,random
222,0,171.3335715734722,1287,random
223,1,154.77614086377355,932,random
224,1,88.87764536176738,2127,random
225,1,148.83632787724824,1371,random
226,1,135.5677703225959,688,random
227,1,130.4647710799116,527,random
228,1,129.5106097884146,668,random
229,0,397.27627307646253,4335,random
230,1,105.04099336961369,463,random
231,0,217.82419393386212,1883,random
232,1,156.09540957632163,771,random
233,1,159.11645075300834,646,random
234,1,168.58089481839107,868,random
235,1,180.64059248788465,1327,random
236,0,85.31327957680163,4893,random
237,1,126.81681710881125,1955,random
238,1,70.06604488021762,2500,random
239,1,91.0216847873954,3218,random
240,0,-44.259705725148976,4706,random
241,1,223.0655553416747,1188,random
242,1,119.51593975226193,469,random
243,1,156.71203324527173,2557,random
244,1,102.93770046963277,2382,random
245,1,111.49636785418551,411,random
246,1,202.9685031754577,1139,random
247,1,167.75522899672725,1297,random
248,1,119.06968550483612,637,random
249,1,196.88870680501398,1311,random
250,1,287.7757417587877,2963,random
251,1,136.7661751920902,631,random
252,0,178.8080066899552,1890,random
253,1,156.32906129033023,591,random
254,1,265.3575910503339,2418,random
255,1,-50.41110310949017,4167,random
256,1,139.2661902440303,554,random
257,1,163.7644696073609,776,random
258,1,141.34657446280966,3132,random
259,1,138.7421249756435,620,random
260,1,127.0993197119868,4337,random
261,1,110.14206200796298,481,random
262,0,84.61207148828808,1026,random
263,1,157.99352711673927,1341,random
264,1,146.62517259377495,779,random
265,1,162.47070998117874,654,random
266,0,216.20887672020655,1698,random
267,1,152.16045066674735,932,random
268,1,158.15208448360406,1877,random
269,1,137.21853499629728,666,random
270,1,241.01273347884856,1267,random
271,1,148.21313167524295,614,random
272,1,131.79705641583473,505,random
273,1,114.24356253389925,444,random
274,1,123.16565720907829,615,random
275,1,123.52279462724348,548,random
276,0,40.67365450322946,4848,random
277,1,204.9439257029196,765,random
278,0,118.19528449059814,1562,random
279,1,189.77930468627835,1108,random
280,0,85.61843505308963,1032,random
