episode,win,reward,length,opponent
1,0,(3564.3576455297075+0j),1999,random
2,1,(736.8804777212735+0j),545,random
3,1,(1616.3487458270579+0j),1148,random
4,1,(1045.8809601587814+0j),700,random
5,1,(1605.1625274729895+0j),948,random
6,1,(712.3089336408228+0j),396,random
7,1,(457.1587036856088+0j),325,random
8,1,(1035.5536264342345+0j),625,random
9,0,(2278.440359180246+0j),2041,random
10,1,(972.315969636158+0j),534,random
11,1,(811.4501061559275+0j),607,random
12,1,(4090.0274651146833+0j),2601,random
13,1,(7045.251938365711+0j),4478,random
14,0,(7129.091176800119+0j),5329,random
15,1,(4083.8763938756956+0j),3067,random
16,0,(1951.5896233066787+0j),1475,random
17,1,(797.9978254453553+0j),472,random
18,0,(4263.505650417713+0j),4035,random
19,1,(2036.8913612523356+0j),1309,random
20,1,(910.3452144753377+0j),604,random
21,1,(1605.7862554250494+0j),1108,random
22,1,(1310.5750361171893+0j),1069,random
23,1,(1553.6878094319334+0j),945,random
24,1,(581.0246963393297+0j),473,random
25,1,(760.9039833698886+0j),491,random
26,0,(4647.429494960374+0j),3880,random
27,1,(1158.8599456745712+0j),785,random
28,0,(1536.8615298139912+0j),1029,random
29,1,(1166.6693105943352+0j),807,random
30,1,(1303.4102508234514+0j),957,random
31,1,(978.8839024575165+0j),555,random
32,1,(396.22579644699385+0j),225,random
33,1,(1371.59303930708+0j),982,random
34,1,(3107.5090479793244+0j),2617,random
35,1,(2620.9483925476866+0j),1610,random
36,1,(697.2435601692442+0j),483,random
37,1,(998.236278248249+0j),581,random
38,1,(748.0470477140329+0j),502,random
39,1,(1773.0989791269067+0j),1288,random
40,1,(1126.455358242629+0j),866,random
41,1,(3747.4763799129623+0j),2640,random
42,1,(806.1738828774241+0j),554,random
43,1,(6237.971334796791+0j),4707,random
44,1,(7800.323497956807+0j),5166,random
45,1,(1296.8865575644504+0j),1030,random
46,1,(1299.0018025147679+0j),967,random
47,1,(5525.757588359709+0j),4252,random
48,1,(694.0901345282589+0j),548,random
49,1,(1299.1790595144348+0j),1057,random
50,0,(2412.9518570591295+0j),1931,random
51,1,(1298.336739101073+0j),758,random
52,0,(4136.550440596927+0j),2947,random
53,1,(769.908381044557+0j),469,random
54,1,(1957.2503863092957+0j),1356,random
55,1,(854.159558011679+0j),503,random
56,1,(1016.0747360161471+0j),635,random
57,0,(7939.489083853859+0j),6253,random
58,1,(1385.8393978213605+0j),868,random
59,1,(657.4198765922976+0j),419,random
60,1,(1044.758137723296+0j),615,random
61,0,(2472.5445103916236+0j),1606,random
62,1,(925.2163585361594+0j),525,random
63,1,(739.4301177534336+0j),520,random
64,1,(3027.555797483756+0j),2478,random
65,0,(3463.5965050621094+0j),2959,random
66,0,(6719.178283592927+0j),5116,random
67,1,(6038.467063460473+0j),4625,random
68,1,(7415.357356370252+0j),4339,random
69,0,(6229.612493772036+0j),5174,random
70,1,(3473.849407812506+0j),2620,random
71,1,(1046.5413310933595+0j),659,random
72,0,(3619.0566598508667+0j),3240,random
73,1,(267.24298173014836+0j),127,random
74,1,(581.4820485701343+0j),405,random
75,1,(3870.46799519189+0j),2758,random
76,1,(2505.900181169582+0j),1650,random
77,1,(465.55288508039774+0j),296,random
78,1,(276.544512022562+0j),197,random
79,1,(936.5981991586326+0j),573,random
80,1,(512.4218709292734+0j),385,random
81,1,(646.7615906948081+0j),421,random
82,1,(690.1426168568377+0j),472,random
83,1,(5179.666949179128+0j),3895,random
84,1,(2521.111972238678+0j),1669,random
85,1,(3387.9450314725837+0j),2796,random
86,0,(6387.236601723083+0j),5171,random
87,1,(2254.34208133228+0j),1430,random
88,1,(933.2529919888639+0j),646,random
89,1,(853.0059694859747+0j),477,random
90,1,(1402.856059553664+0j),990,random
91,1,(1476.441222277169+0j),758,random
92,1,(519.9213126664795+0j),330,random
93,1,(370.9722783110451+0j),303,random
